City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sake,-1.5736,29.045,291.95,92,95,0.88,CD,1683044918
84,bubaque,11.2833,-15.8333,299.24,79,46,4.54,GW,1683044919
85,gleize,45.9908,4.7007,293.29,45,2,0.45,FR,1683044919
86,fort mcmurray,56.7268,-111.381,291.92,39,0,2.06,CA,1683044919
87,betio village,1.358,172.9211,301.17,79,100,4.49,KI,1683044920
88,lisala,2.15,21.5167,296.74,92,97,2.37,CD,1683044921
89,port mathurin,-19.6833,63.4167,299.19,76,9,5.01,MU,1683044921
90,kodiak,57.79,-152.4072,276.88,81,100,0.0,US,1683044922
91,geraldton,-28.7667,114.6,286.38,76,32,4.63,AU,1683044922
92,taoudenni,22.6783,-3.9836,316.78,4,0,3.69,ML,1683044922
93,pitkyaranta,61.5734,31.4792,280.0,76,100,7.0,RU,1683044923
94,masterton,-40.9597,175.6575,289.2,86,95,2.4,NZ,1683044923
95,susuman,62.7833,148.1667,264.1,94,100,1.16,RU,1683044923
96,djenne,13.9061,-4.5533,314.23,13,27,2.17,ML,1683044923
97,hawaiian paradise park,19.5933,-154.9731,293.72,89,0,3.6,US,1683044924
98,codrington,-38.2667,141.9667,285.74,83,93,12.4,AU,1683044924
99,champerico,14.3,-91.9167,306.45,61,94,3.13,GT,1683044924
100,tralee,52.2704,-9.7026,287.29,67,40,5.66,IE,1683044925
101,barcelos,41.5388,-8.6151,303.66,43,100,1.66,PT,1683044843
102,mount pearl,47.5166,-52.7813,280.07,74,75,7.2,CA,1683044925
103,talnakh,69.4865,88.3972,268.82,89,100,4.2,RU,1683044925
104,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,87,75,2.0,RU,1683044926
105,zemio,5.0314,25.1361,303.04,40,81,0.11,CF,1683044926
106,carnarvon,-24.8667,113.6333,296.56,61,56,4.68,AU,1683044926
107,taro,-8.3862,115.28,297.15,97,90,0.3,ID,1683044926
108,galappo,-4.2667,35.85,293.81,70,85,1.45,TZ,1683044927
109,granja,-3.1203,-40.8261,303.93,61,20,2.13,BR,1683044927
110,glace bay,46.1969,-59.957,277.09,93,100,10.29,CA,1683044882
111,cabo san lucas,22.8909,-109.9124,299.92,51,75,4.63,MX,1683044912
112,yellowknife,62.456,-114.3525,277.44,81,75,1.54,CA,1683044729
113,solsona,41.994,1.5171,298.68,14,60,3.04,ES,1683044928
114,tapes,-30.6733,-51.3958,290.66,94,100,5.1,BR,1683044928
115,sitka,57.0531,-135.33,285.09,71,100,6.17,US,1683044929
116,east london,-33.0153,27.9116,292.67,88,0,2.06,ZA,1683044929
117,vadso,70.0744,29.7487,272.64,64,20,12.35,NO,1683044930
118,new norfolk,-42.7826,147.0587,279.66,75,96,0.77,AU,1683044930
119,baro,8.6,6.4167,306.89,39,99,5.95,NG,1683044930
120,nemuro,43.3236,145.575,277.72,90,1,6.59,JP,1683044930
121,melekeok village,7.4957,134.6367,301.16,79,90,4.47,PW,1683044931
122,saipan,15.1355,145.701,300.54,100,40,5.66,MP,1683044931
123,pachino,36.7186,15.0907,290.85,71,100,8.56,IT,1683044931
124,flying fish cove,-10.4217,105.6791,297.97,100,7,0.0,CX,1683044932
125,birobidzhan,48.8,132.95,289.12,53,100,3.79,RU,1683044652
126,alice springs,-23.7,133.8833,282.9,76,53,3.42,AU,1683044637
127,naracoorte,-36.9579,140.7383,285.97,81,74,9.65,AU,1683044932
128,umm kaddadah,13.6017,26.6876,308.32,9,17,3.32,SD,1683044933
129,santa terezinha,-29.9002,-50.0904,293.82,94,100,5.42,BR,1683044933
130,thompson,55.7435,-97.8558,283.24,37,75,5.14,CA,1683044742
131,nizhnesortymskiy,62.4397,71.7603,274.68,79,100,6.77,RU,1683044933
132,itoman,26.1247,127.6694,296.16,73,100,7.72,JP,1683044934
133,bamboo flat,11.7,92.7167,303.19,72,100,3.39,IN,1683044934
134,kavaratti,10.5669,72.642,302.11,67,22,4.28,IN,1683044934
135,dryden,49.7833,-92.7503,280.31,33,0,5.66,CA,1683044935
136,kruisfontein,-34.0033,24.7314,288.34,80,100,3.93,ZA,1683044935
137,kununurra,-15.7667,128.7333,291.14,72,36,1.54,AU,1683044935
138,baruun-urt,46.6806,113.2792,280.98,28,54,5.41,MN,1683044935
139,san julian,21.0167,-102.1667,296.68,14,42,6.09,MX,1683044936
140,pelabuhanratu,-6.9875,106.5514,299.75,87,86,0.71,ID,1683044936
141,ambon,-3.6954,128.1814,298.23,94,75,2.57,ID,1683044848
142,nar'yan-mar,67.6713,53.087,274.83,80,99,10.92,RU,1683044936
143,taltal,-25.4,-70.4833,291.89,71,7,2.28,CL,1683044937
144,dalbandin,28.8947,64.4101,303.18,16,37,1.22,PK,1683044937
145,iskateley,67.6803,53.1512,274.77,80,99,10.89,RU,1683044937
146,huarmey,-10.0681,-78.1522,298.04,79,97,4.55,PE,1683044938
147,nadym,65.5333,72.5167,275.15,79,100,10.89,RU,1683044938
148,edinburgh of the seven seas,-37.0676,-12.3116,290.5,80,99,10.06,SH,1683044938
149,kenora,49.8167,-94.4337,282.69,25,20,5.66,CA,1683044938
150,holualoa,19.6228,-155.9522,294.06,80,0,3.09,US,1683044939
151,malpica,43.3228,-8.8105,299.2,61,100,2.37,ES,1683044939
152,lihue,21.9789,-159.3672,294.92,90,40,1.54,US,1683044770
153,ust-nera,64.5667,143.2,267.19,96,100,0.78,RU,1683044939
154,ulysses,37.5814,-101.3552,291.69,34,0,6.17,US,1683044940
155,worgl,47.4833,12.0667,286.5,94,100,0.48,AT,1683044941
156,lebu,-37.6167,-73.65,286.11,70,0,7.49,CL,1683044941
157,st. paul,44.9444,-93.0933,285.58,29,0,8.23,US,1683044941
158,al lagowa,11.4,29.1333,309.36,8,35,4.4,SD,1683044941
159,kralendijk,12.15,-68.2667,304.14,62,20,9.77,BQ,1683044942
160,kangundo,-1.2979,37.3471,294.34,95,97,2.34,KE,1683044942
161,puerto baquerizo moreno,-0.9,-89.6,301.7,79,40,5.14,EC,1683044942
162,longyearbyen,78.2186,15.6401,264.06,57,0,0.0,SJ,1683044944
163,kinkala,-4.3614,14.7644,298.11,86,99,1.25,CG,1683044944
164,lata,40.1629,-8.3327,304.77,34,100,2.13,PT,1683044945
165,pauini,-7.7136,-66.9764,302.32,72,100,1.89,BR,1683044945
166,sechura,-5.5569,-80.8222,301.07,62,18,4.34,PE,1683044945
167,lycksele,64.5954,18.6735,282.08,27,40,5.14,SE,1683044946
168,kourou,5.1552,-52.6478,303.18,61,48,4.09,GF,1683044946
169,tolanaro,-25.0319,46.9987,295.19,64,75,1.03,MG,1683044947
170,magadan,59.5667,150.8,269.56,84,81,1.03,RU,1683044947
171,dossor,47.5272,52.9811,300.24,11,100,11.1,KZ,1683044947
172,warman,52.3168,-106.5679,289.1,31,40,4.63,CA,1683044948
173,da nang,16.0678,108.2208,301.14,83,20,2.06,VN,1683044948
174,tasqala,51.1167,50.3167,290.47,78,100,7.88,KZ,1683044948
175,qianzhou,28.3167,109.7167,292.59,96,100,0.97,CN,1683044949
176,hassi messaoud,31.6804,6.0729,304.07,18,0,1.54,DZ,1683044949
177,khatra,22.9833,86.85,301.26,57,20,6.58,IN,1683044949
178,gisborne,-38.6533,178.0042,289.81,96,98,2.01,NZ,1683044950
179,kudahuvadhoo,2.6708,72.8944,299.16,88,100,7.71,MV,1683044950
180,great falls,47.5002,-111.3008,288.52,50,0,2.57,US,1683044845
181,chernyshevskiy,63.0128,112.4714,267.76,93,83,2.4,RU,1683044951
182,dalandzadgad,43.5708,104.425,287.12,22,88,0.65,MN,1683044951
183,atafu village,-8.5421,-172.5159,302.1,72,82,7.04,TK,1683044951
184,sars,56.5502,57.1366,289.46,49,37,2.42,RU,1683044951
185,westport,41.1415,-73.3579,285.22,80,100,4.63,US,1683044952
186,lensk,60.7253,114.9278,272.01,97,100,1.66,RU,1683044952
187,kalmunai,7.4167,81.8167,299.11,86,100,1.69,LK,1683044952
188,noumea,-22.2763,166.4572,298.71,99,85,2.69,NC,1683044953
189,pacific grove,36.6177,-121.9166,285.05,85,75,2.68,US,1683044941
190,port sudan,19.6175,37.2164,300.77,51,5,5.15,SD,1683044953
191,newman,37.3138,-121.0208,286.61,90,100,1.34,US,1683044953
192,yarmouth,41.7057,-70.2286,289.15,68,75,5.14,US,1683044904
193,punta arenas,-53.15,-70.9167,282.21,66,40,19.55,CL,1683044954
